ward_spatial,longitude,latitude
37,-87.74731492,41.89378322
24,-87.72760918,41.87035015
24,-87.71568664,41.86352566
24,-87.72192605,41.85954005
24,-87.69407044,41.85836686
25,-87.69383758,41.85036208
22,-87.71796566,41.83942225
28,-87.71259362,41.8775572
37,-87.75742164,41.91521243
26,-87.6962594,41.90866219
26,-87.69134713,41.90250354
37,-87.72905712,41.90066941
37,-87.75807045,41.88588018
50,-87.70720876,42.00180384
16,-87.67106651,41.79593878
20,-87.6591419,41.80165636
20,-87.65417005,41.80024879
16,-87.65284516,41.79577531
20,-87.63353264,41.80227414
3,-87.62065803,41.80635948
3,-87.63216692,41.82162988
15,-87.67115594,41.78008391
17,-87.66056883,41.76635959
20,-87.61534502,41.78317823
16,-87.66178828,41.79318776
16,-87.64815889,41.78305013
17,-87.65995581,41.76067945
17,-87.66578649,41.76058007
8,-87.6060335,41.73049986
3,-87.62679989,41.85747066
3,-87.62499116,41.85027549
4,-87.61974213,41.83417073
18,-87.68956276,41.75908325
20,-87.63379775,41.81277495
16,-87.66563217,41.80063865
16,-87.66536724,41.79429506
15,-87.64487864,41.80860687
3,-87.63276009,41.8186467
16,-87.65041209,41.77583728
16,-87.66054827,41.79200093
16,-87.64949662,41.78767658
16,-87.65746181,41.7825041
16,-87.65016615,41.78643747
8,-87.58790322,41.75440134
8,-87.59352347,41.73654311
21,-87.62994599,41.70461073
9,-87.62541619,41.70375502
9,-87.62586692,41.69957855
21,-87.64801475,41.69801176
47,-87.6749689,41.95121882
32,-87.68539581,41.91521212
36,-87.72305107,41.90453203
24,-87.75400131,41.87079216
24,-87.71360179,41.8577693
25,-87.68583505,41.84500171
27,-87.69747366,41.88519989
50,-87.70729508,42.00179779
10,-87.54345932,41.73662412
9,-87.62972015,41.6845678
10,-87.56684418,41.67437656
9,-87.62811496,41.67102087
45,-87.74357009,41.95068356
32,-87.65618443,41.91197392
43,-87.64246131,41.92112939
36,-87.69059648,41.89817038
37,-87.75034269,41.89197301
24,-87.73029033,41.86181983
24,-87.73167304,41.858507
